ins,isopt,lyhrn,sinrn,narn,d15rn,lkhrn,lyhrl,d15RL,rate,lkhrl,rate, sinRL,rate,naRL,rate,time,rts,seed
C101,1,0,10,0,10,10,-5,8273,-100.06,8273,-100.06,0,-inf,0,-inf,0,,1641240893
C102,1,0,10,0,10,10,-5,8273,-100.06,8273,-100.06,0,-inf,0,-inf,0,,1641240893
C103,1,0,10,0,10,10,-5,8263,-100.061,8263,-100.061,0,-inf,0,-inf,0,,1641240893
C104,1,0,10,0,10,10,-5,8229,-100.061,8229,-100.061,0,-inf,0,-inf,0,,1641240893
C105,1,0,10,0,10,10,-5,8273,-100.06,8273,-100.06,0,-inf,0,-inf,0,,1641240893
C106,1,0,10,0,10,10,-5,8273,-100.06,8273,-100.06,0,-inf,0,-inf,0,,1641240893
C107,1,0,10,0,10,10,-5,8273,-100.06,8273,-100.06,0,-inf,0,-inf,0,,1641240893
C108,1,0,10,0,10,10,-5,8273,-100.06,8273,-100.06,0,-inf,0,-inf,0,,1641240893
C109,1,0,10,0,10,10,-5,8273,-100.06,8273,-100.06,0,-inf,0,-inf,0,,1641240893
C201,1,0,3,0,3,3,-5,5891,-100.085,5891,-100.085,0,-inf,0,-inf,0,,1641240893
C202,1,0,3,0,3,3,-5,5891,-100.085,5891,-100.085,0,-inf,0,-inf,0,,1641240893
C203,1,0,3,0,3,3,-5,5887,-100.085,5887,-100.085,0,-inf,0,-inf,0,,1641240893
C204,1,0,3,0,3,3,-5,5881,-100.085,5881,-100.085,0,-inf,0,-inf,0,,1641240893
C205,1,0,3,0,3,3,-5,5864,-100.085,5864,-100.085,0,-inf,0,-inf,0,,1641240893
C206,1,0,3,0,3,3,-5,5860,-100.085,5860,-100.085,0,-inf,0,-inf,0,,1641240893
C207,1,0,3,0,3,3,-5,5858,-100.085,5858,-100.085,0,-inf,0,-inf,0,,1641240893
C208,1,0,3,0,3,3,-5,5858,-100.085,5858,-100.085,0,-inf,0,-inf,0,,1641240893
R101,1,0,19,0,20,20,-5,16377,-100.031,16377,-100.031,0,-inf,0,-inf,0,,1641240893
