no,ins,jsb,lyh,gapval,gap%
111,RC2_2_4,0.606774596,0.018589182,-0.588185414,-96.93639415
68,C2_2_1,0.109484089,0.003525131,-0.105958958,-96.78023443
33,R204,0.11790027,0.004618921,-0.113281349,-96.08234909
114,RC2_2_7,0.379543423,0.015013835,-0.364529588,-96.04423787
18,R101,0.012602519,0.000553702,-0.012048817,-95.60641805
134,C2_4_7,0.91084506,0.047800751,-0.863044309,-94.75204367
28,R111,0.128657261,0.00728388,-0.121373381,-94.33853951
275,R2_8_8,4.773352713,0.308049398,-4.465303315,-93.54647736
36,R207,0.081583095,0.005843927,-0.075739168,-92.83684077
192,C2_6_5,0.766954374,0.058175837,-0.708778537,-92.41469389
49,RC201,0.070737622,0.00545105,-0.065286572,-92.29398749
81,R1_2_4,1.387077165,0.108800874,-1.278276291,-92.15610517
37,R208,0.042468545,0.003358773,-0.039109772,-92.09115123
106,RC1_2_9,1.073966674,0.085852819,-0.988113855,-92.00600716
115,RC2_2_8,0.353402796,0.032528743,-0.320874053,-90.7955615
23,R106,0.028339025,0.002669213,-0.025669812,-90.58114032
34,R205,0.213598241,0.021955056,-0.191643185,-89.72133109
38,R209,0.025512072,0.002625815,-0.022886257,-89.70755884
227,RC2_6_10,1.195335849,0.123967294,-1.071368555,-89.62908256
101,RC1_2_4,0.673305229,0.070226581,-0.603078648,-89.56987441
30,R201,0.026286723,0.002763564,-0.023523159,-89.48684475
253,C2_8_6,2.330706964,0.248586386,-2.082120578,-89.33429256
120,C1_4_3,0.200703847,0.023020114,-0.177683733,-88.53030754
87,R2_2_10,0.21704867,0.025148273,-0.191900397,-88.41353278
78,R1_2_1,0.768477964,0.090523085,-0.677954879,-88.22047095
32,R203,0.021659223,0.002555955,-0.019103268,-88.19923042
54,RC206,0.050879705,0.006071507,-0.044808198,-88.0669375
13,C204,0.021177835,0.002602502,-0.018575333,-87.711199
150,R2_4_3,0.470787634,0.058444644,-0.41234299,-87.58577333
95,R2_2_8,0.396217682,0.050401815,-0.345815867,-87.27926156
88,R2_2_1,0.1246132,0.016041508,-0.108571692,-87.12695926
44,RC104,0.032360838,0.004540625,-0.027820213,-85.9687657
170,RC2_4_3,0.57622183,0.081330571,-0.494891259,-85.88554498
4,C104,0.007781523,0.001137722,-0.006643801,-85.37918605
27,R110,0.064563795,0.009492078,-0.055071717,-85.29814116
99,RC1_2_2,0.174995562,0.02760277,-0.147392792,-84.22658856
26,R109,0.031186958,0.004927073,-0.026259885,-84.20149538
255,C2_8_8,2.38883887,0.37899318,-2.00984569,-84.13483702
12,C203,0.006136028,0.001016547,-0.005119481,-83.43314274
5,C105,0.003556885,0.000598735,-0.00295815,-83.16687214
109,RC2_2_2,0.178496733,0.030410422,-0.148086311,-82.9630372
301,C1_10_4,2.472860215,0.432598632,-2.040261583,-82.50614291
121,C1_4_4,0.629059697,0.110197461,-0.518862236,-82.48219342
102,RC1_2_5,0.163417406,0.02930817,-0.134109236,-82.06545391
2,C102,0.004262475,0.000765295,-0.00349718,-82.0457598
