12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: C2_4_10
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 4031.610
BKS: 3665.1
Optimal: 1
Wed 09 Feb 2022 11:03:01 PM EST
timestamp: 1644465781
Solution value, local machine time, standardized time
4030.8 0.072 0.079
4028.6 0.075 0.083
4027.2 0.077 0.085
4016.1 0.079 0.087
4015.4 0.085 0.094
4000.5 0.089 0.098
3972.1 0.093 0.102
3971.0 0.095 0.105
3968.3 0.100 0.110
3967.8 0.101 0.111
3966.1 0.103 0.114
3957.8 0.108 0.119
3954.7 0.111 0.122
3953.0 0.116 0.128
3951.2 0.118 0.130
3950.5 0.120 0.132
3924.9 0.124 0.137
3921.8 0.126 0.139
3921.3 0.130 0.143
3920.7 0.132 0.145
3888.1 0.133 0.147
3887.5 0.139 0.153
3886.6 0.141 0.155
3884.0 0.148 0.163
3883.9 0.157 0.173
3882.0 0.193 0.213
3880.0 0.205 0.226
3879.0 0.211 0.233
3878.1 0.212 0.234
3877.1 0.213 0.235
3876.6 0.215 0.237
3876.4 0.222 0.245
3874.5 0.227 0.250
3872.4 0.233 0.257
3871.6 0.267 0.294
3870.0 0.343 0.378
3869.7 0.347 0.382
3867.9 0.379 0.418
3865.5 0.407 0.449
3864.0 0.499 0.550
3822.2 0.515 0.568
3820.7 0.531 0.585
3817.8 0.561 0.618
3812.2 0.675 0.744
3811.2 0.703 0.775
3804.8 3.173 3.497
3804.4 3.175 3.499
3802.9 3.180 3.504
3802.3 3.220 3.548
3798.0 3.266 3.599
3797.7 3.485 3.840
3793.3 4.083 4.499
3790.4 4.093 4.510
3787.9 4.094 4.512
3787.6 4.129 4.550
3784.2 4.203 4.632
3783.9 4.294 4.732
3781.7 4.297 4.735
3779.8 4.373 4.819
3775.1 4.516 4.977
3775.0 4.533 4.995
3774.9 4.575 5.042
3774.8 4.607 5.077
3773.7 4.615 5.086
3771.0 4.624 5.096
3763.4 10.721 11.815
3762.8 10.879 11.989
3757.3 10.880 11.990
3757.2 10.886 11.996
3755.8 10.888 11.999
3751.9 10.951 12.068
3751.8 10.968 12.087
3751.2 11.258 12.406
3749.4 11.265 12.414
3747.2 11.604 12.788
3739.2 11.982 13.204
3737.3 12.098 13.332
3737.0 12.392 13.656
3734.4 15.475 17.053
3734.2 15.507 17.089
3718.1 15.560 17.147
3716.4 15.562 17.149
3716.2 15.585 17.175
3715.2 15.678 17.277
3714.9 16.655 18.354
3714.2 16.740 18.447
3714.1 16.781 18.493
3714.0 16.902 18.626
3708.6 26.022 28.676
3705.7 26.432 29.128
3704.7 26.466 29.166
3704.4 26.875 29.616
3703.7 31.997 35.261
3702.1 39.084 43.071
3701.7 39.346 43.359
3701.0 45.182 49.791
3700.7 45.301 49.922
3699.3 48.618 53.577
3696.7 48.624 53.584
3690.8 51.927 57.224
3688.8 51.945 57.243
3688.7 52.783 58.167
3687.5 52.790 58.175
3687.1 55.041 60.655
3686.1 55.898 61.600
3685.8 59.568 65.644
3685.7 59.574 65.651
3683.3 59.638 65.721
3683.2 59.684 65.772
3682.6 66.577 73.368
3681.6 66.990 73.823
3681.2 67.021 73.857
3681.1 67.048 73.887
3680.0 73.154 80.616
3679.7 74.179 81.745
3679.4 77.269 85.150
3678.9 77.891 85.836
3676.0 77.894 85.839
3675.2 82.269 90.660
3674.4 82.286 90.679
3674.3 82.291 90.685
3673.1 82.301 90.696
3673.0 156.806 172.800
3672.7 156.977 172.989
3672.4 164.193 180.941
3671.3 172.475 190.067
3670.0 614.659 677.354
3669.9 614.691 677.389
3669.6 614.789 677.497
Primal Integral: 0.1594389049
