12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R1_4_6
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 9174.440
BKS: 8340.4
Optimal: 1
Thu 10 Feb 2022 09:58:27 AM EST
timestamp: 1644505107
Solution value, local machine time, standardized time
9140.0 0.061 0.067
9127.7 0.062 0.068
9124.7 0.064 0.071
9118.3 0.073 0.080
9115.7 0.074 0.082
9061.0 0.088 0.097
9060.1 0.089 0.098
9060.0 0.091 0.100
9059.8 0.105 0.116
9057.6 0.107 0.118
9057.2 0.110 0.121
9048.7 0.122 0.134
9035.7 0.126 0.139
9027.2 0.136 0.150
9027.1 0.137 0.151
9019.4 0.138 0.152
9002.6 0.141 0.155
8988.9 0.142 0.156
8988.6 0.158 0.174
8979.4 0.166 0.183
8976.3 0.174 0.192
8975.4 0.179 0.197
8973.6 0.180 0.198
8962.6 0.181 0.199
8953.6 0.183 0.202
8898.4 0.190 0.209
8893.0 0.192 0.212
8892.9 0.200 0.220
8887.8 0.233 0.257
8880.6 0.246 0.271
8879.5 0.255 0.281
8879.2 0.256 0.282
8873.6 0.259 0.285
8862.8 0.260 0.287
8847.8 0.266 0.293
8831.4 0.270 0.298
8819.4 0.282 0.311
8812.5 0.287 0.316
8810.7 0.296 0.326
8810.2 0.307 0.338
8790.6 0.309 0.341
8790.4 0.316 0.348
8786.2 0.317 0.349
8776.6 0.321 0.354
8776.0 0.330 0.364
8772.1 0.346 0.381
8761.9 0.350 0.386
8747.5 0.365 0.402
8742.5 0.372 0.410
8737.7 0.373 0.411
8735.9 0.379 0.418
8735.7 0.395 0.435
8732.7 0.423 0.466
8732.4 0.430 0.474
8730.4 0.498 0.549
8719.0 0.505 0.557
8717.6 0.524 0.577
8716.3 0.525 0.579
8714.7 0.532 0.586
8713.5 0.535 0.590
8713.1 0.577 0.636
8708.6 0.596 0.657
8706.3 0.621 0.684
8703.1 0.625 0.689
8701.1 0.652 0.719
8701.0 0.774 0.853
8685.8 0.793 0.874
8685.2 0.880 0.970
8680.3 0.902 0.994
8679.9 0.906 0.998
8674.0 0.924 1.018
8668.1 0.947 1.044
8668.0 0.971 1.070
8664.7 1.056 1.164
8661.8 1.060 1.168
8653.7 1.062 1.170
8651.6 1.162 1.281
8651.5 1.163 1.282
8649.3 1.195 1.317
8644.7 1.221 1.346
8627.7 1.224 1.349
8615.9 1.235 1.361
8594.1 1.237 1.363
8590.4 1.241 1.368
8588.4 1.244 1.371
8583.5 1.284 1.415
8583.4 1.298 1.430
8583.3 1.343 1.480
8577.5 1.353 1.491
8574.5 1.368 1.508
8568.9 1.385 1.526
8561.6 1.395 1.537
8553.1 1.398 1.541
8550.3 1.401 1.544
8539.8 1.413 1.557
8539.4 1.416 1.560
8527.2 1.428 1.574
8524.4 1.429 1.575
8523.4 1.436 1.582
8523.0 1.447 1.595
8514.6 24.291 26.769
8511.0 25.380 27.969
8510.4 25.382 27.971
8507.4 25.403 27.994
8505.1 25.405 27.996
8492.7 25.814 28.447
8492.0 25.974 28.623
8489.5 26.150 28.817
8485.7 26.233 28.909
8485.5 27.172 29.944
8485.2 27.514 30.320
8481.2 27.525 30.333
8481.0 28.064 30.927
8479.2 30.481 33.590
8477.8 31.233 34.419
8473.3 31.248 34.435
8467.5 31.333 34.529
