12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R2_6_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 14285.590
BKS: 12986.9
Optimal: 0
Mon 14 Feb 2022 09:39:13 AM EST
timestamp: 1644849553
Solution value, local machine time, standardized time
14284.7 0.252 0.278
14264.5 0.255 0.281
14258.0 0.257 0.283
14237.4 0.258 0.284
14236.5 0.259 0.285
14226.3 0.261 0.288
14226.0 0.264 0.291
14201.3 0.270 0.298
14197.3 0.272 0.300
14160.5 0.282 0.311
14155.7 0.287 0.316
14123.8 0.293 0.323
14123.7 0.294 0.324
14114.1 0.296 0.326
14100.6 0.301 0.332
14099.1 0.308 0.339
14036.8 0.334 0.368
14036.4 0.364 0.401
14033.5 0.368 0.406
14022.2 0.382 0.421
14020.8 0.384 0.423
13971.4 0.414 0.456
13945.6 0.415 0.457
13942.1 0.417 0.460
13942.0 0.425 0.468
13941.9 0.429 0.473
13910.0 0.430 0.474
13899.8 0.516 0.569
13899.4 0.518 0.571
13899.3 0.545 0.601
13881.0 0.555 0.612
13878.6 0.573 0.631
13875.8 0.574 0.633
13875.7 0.581 0.640
13847.4 0.598 0.659
13841.6 0.602 0.663
13840.6 0.618 0.681
13839.8 0.658 0.725
13837.6 0.666 0.734
13833.9 0.670 0.738
13832.7 0.675 0.744
13832.6 0.679 0.748
13832.5 0.686 0.756
13831.2 0.704 0.776
13829.9 0.705 0.777
13820.6 0.711 0.784
13818.2 0.719 0.792
13818.0 0.720 0.793
13817.1 0.732 0.807
13812.3 0.747 0.823
13804.6 0.749 0.825
13800.8 0.750 0.827
13800.4 0.760 0.838
13800.0 0.778 0.857
13794.4 0.784 0.864
13780.1 0.788 0.868
13777.5 0.789 0.869
13771.4 0.857 0.944
13770.8 1.001 1.103
13770.3 1.010 1.113
13770.2 1.018 1.122
13767.4 1.030 1.135
13766.4 1.070 1.179
13766.3 1.095 1.207
13765.9 1.104 1.217
13765.8 1.109 1.222
13747.3 1.114 1.228
13683.3 1.159 1.277
13656.8 1.218 1.342
13654.9 1.254 1.382
13654.8 1.259 1.387
13654.7 1.317 1.451
13570.4 1.319 1.454
13564.0 1.344 1.481
13560.6 1.370 1.510
13557.7 1.374 1.514
13553.2 1.421 1.566
13553.0 1.449 1.597
13544.5 1.530 1.686
13544.3 1.531 1.687
13543.9 1.617 1.782
13500.2 1.622 1.787
13489.7 1.648 1.816
13489.5 1.693 1.866
13489.3 1.699 1.872
13488.7 1.717 1.892
13488.5 1.907 2.102
13474.2 2.156 2.376
13468.6 2.177 2.399
13466.8 2.188 2.411
13461.4 2.404 2.649
13453.4 2.610 2.876
13453.1 2.621 2.888
13445.3 2.679 2.952
13439.2 2.779 3.062
13439.1 2.800 3.086
13425.5 2.902 3.198
13422.3 2.933 3.232
13405.6 30.304 33.395
13405.4 30.308 33.399
13397.9 30.652 33.779
13387.0 31.363 34.562
13382.1 31.375 34.575
13355.7 31.376 34.576
13355.6 31.646 34.874
13333.3 31.649 34.877
13329.4 31.963 35.223
13329.1 32.028 35.295
13322.2 32.043 35.311
13264.6 32.468 35.780
13255.3 33.423 36.832
13254.1 33.951 37.414
13251.8 34.055 37.529
13251.0 34.180 37.666
13205.7 34.206 37.695
13205.4 34.306 37.805
13203.0 35.156 38.742
13194.4 35.158 38.744
13187.9 35.357 38.963
13186.2 35.405 39.016
13180.7 35.892 39.553
13169.2 35.894 39.555
13166.9 36.647 40.385
13165.8 36.860 40.620
13165.3 37.273 41.075
13156.0 39.299 43.307
13155.6 39.393 43.411
13153.1 39.404 43.423
13150.6 39.474 43.500
13149.8 39.486 43.514
13141.5 39.934 44.007
13140.4 39.985 44.063
13139.9 40.078 44.166
13139.1 41.779 46.040
13138.8 41.941 46.219
13132.0 52.061 57.371
13128.9 52.068 57.379
13126.9 52.084 57.397
13125.4 62.312 68.668
13120.6 62.335 68.693
13118.7 62.343 68.702
13118.4 62.352 68.712
13117.5 76.768 84.598
13114.9 80.152 88.328
13114.7 85.667 94.405
13112.0 119.147 131.300
13107.0 176.489 194.491
13097.1 181.786 200.328
13095.2 181.902 200.456
13094.3 182.189 200.772
13093.8 182.469 201.081
13093.6 183.879 202.635
13092.8 185.297 204.197
13092.4 186.006 204.979
13091.9 191.507 211.041
13091.6 191.509 211.043
13091.3 192.419 212.046
13090.0 263.859 290.773
13088.5 264.151 291.094
13087.1 326.472 359.772
13085.0 339.272 373.878
13084.8 339.831 374.494
13082.1 359.444 396.107
13078.9 359.451 396.115
13078.7 359.492 396.160
13076.3 359.562 396.237
13076.0 359.599 396.278
13069.8 362.127 399.064
13067.4 362.244 399.193
13065.1 469.849 517.774
13064.2 470.075 518.023
13063.7 472.056 520.206
13061.6 474.959 523.405
13061.1 475.524 524.027
13060.2 553.382 609.827
13060.0 553.388 609.834
13059.3 553.394 609.840
13059.0 553.445 609.896
13058.9 553.447 609.899
13057.9 553.766 610.250
13057.8 553.803 610.291
13057.6 553.821 610.311
13056.7 553.836 610.327
13056.5 553.847 610.339
13056.0 553.856 610.349
13052.3 554.770 611.357
13040.7 554.809 611.400
13040.2 558.318 615.266
13040.1 559.375 616.431
13039.4 559.377 616.433
13039.3 559.382 616.439
13038.4 559.476 616.543
Primal Integral: 0.4899088954
