12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: C1_4_4
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 7455.470
BKS: 6777.7
Optimal: 1
Mon 14 Feb 2022 12:06:02 PM EST
timestamp: 1644858362
Solution value, local machine time, standardized time
7446.1 0.129 0.142
7418.8 0.140 0.154
7402.8 0.142 0.156
7401.4 0.143 0.158
7395.6 0.151 0.166
7392.8 0.159 0.175
7366.0 0.165 0.182
7349.9 0.171 0.188
7339.1 0.174 0.192
7338.3 0.175 0.193
7338.1 0.177 0.195
7338.0 0.178 0.196
7315.9 0.183 0.202
7309.8 0.184 0.203
7303.0 0.186 0.205
7300.5 0.188 0.207
7299.7 0.190 0.209
7298.6 0.202 0.223
7247.5 0.204 0.225
7246.4 0.221 0.244
7245.8 0.222 0.245
7244.4 0.223 0.246
7238.0 0.225 0.248
7231.9 0.228 0.251
7231.8 0.236 0.260
7222.2 0.237 0.261
7217.9 0.251 0.277
7215.9 0.253 0.279
7213.8 0.271 0.299
7200.9 0.290 0.320
7196.0 0.291 0.321
7191.1 0.348 0.383
7190.4 0.403 0.444
7186.9 0.409 0.451
7185.9 0.451 0.497
7177.1 0.468 0.516
7176.1 0.476 0.525
7175.5 0.477 0.526
7169.1 0.492 0.542
7165.0 0.494 0.544
7163.1 0.495 0.545
7160.1 0.498 0.549
7136.6 0.510 0.562
7136.4 0.555 0.612
7132.6 0.563 0.620
7125.1 0.564 0.622
7123.8 0.582 0.641
7121.2 0.600 0.661
7120.6 0.613 0.676
7120.0 0.614 0.677
7117.1 0.637 0.702
7108.5 0.645 0.711
7108.1 0.646 0.712
7099.8 0.741 0.817
7098.9 0.776 0.855
7096.8 0.781 0.861
7095.2 0.809 0.892
7094.8 0.812 0.895
7094.2 0.825 0.909
7093.7 0.846 0.932
7092.5 0.852 0.939
7091.8 0.860 0.948
7089.9 0.865 0.953
7089.8 0.873 0.962
7087.4 0.896 0.987
7086.8 0.899 0.991
7086.5 0.919 1.013
7085.8 1.027 1.132
7085.1 1.030 1.135
7083.0 1.185 1.306
7082.8 1.190 1.311
7082.3 1.206 1.329
7080.0 1.207 1.330
7079.7 1.229 1.354
7079.5 1.242 1.369
7075.9 1.243 1.370
7075.4 1.245 1.372
7074.8 1.250 1.378
7074.1 1.297 1.429
7073.8 1.305 1.438
7073.6 1.307 1.440
7073.5 1.316 1.450
7073.4 1.352 1.490
7073.1 1.375 1.515
7072.7 1.435 1.581
7072.1 1.440 1.587
7071.5 1.450 1.598
7070.6 1.592 1.754
7069.5 1.676 1.847
7069.0 1.910 2.105
7068.5 2.313 2.549
7064.0 2.370 2.612
7026.6 2.461 2.712
7024.3 2.465 2.716
7024.0 2.479 2.732
7019.7 2.489 2.743
7019.4 2.491 2.745
7018.6 2.503 2.758
7017.2 2.513 2.769
7016.5 2.523 2.780
7016.4 2.645 2.915
7013.5 2.674 2.947
7012.1 2.686 2.960
7010.7 2.773 3.056
7010.6 2.778 3.061
7010.1 2.781 3.065
7009.4 2.806 3.092
7009.2 2.846 3.136
7009.0 2.852 3.143
7007.1 4.063 4.477
7004.7 4.077 4.493
7004.1 4.089 4.506
7003.0 4.096 4.514
7000.9 4.108 4.527
7000.7 4.124 4.545
7000.6 4.130 4.551
6995.8 4.142 4.564
