12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R1_6_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 20428.870
BKS: 18571.7
Optimal: 0
Mon 14 Feb 2022 12:34:42 AM EST
timestamp: 1644816882
Solution value, local machine time, standardized time
20400.2 0.190 0.209
20369.2 0.196 0.216
20350.0 0.198 0.218
20332.2 0.201 0.222
20316.2 0.202 0.223
20312.2 0.211 0.233
20294.0 0.227 0.250
20212.7 0.228 0.251
20195.8 0.230 0.253
20151.9 0.232 0.256
20136.0 0.237 0.261
20108.1 0.247 0.272
20107.1 0.276 0.304
20103.4 0.288 0.317
20090.3 0.293 0.323
20083.0 0.300 0.331
20072.8 0.302 0.333
20072.2 0.303 0.334
20047.8 0.317 0.349
20045.2 0.324 0.357
20040.5 0.328 0.361
20030.5 0.330 0.364
20002.4 0.331 0.365
19992.6 0.347 0.382
19990.0 0.354 0.390
19946.8 0.360 0.397
19931.0 0.370 0.408
19914.4 0.377 0.415
19914.2 0.384 0.423
19909.7 0.392 0.432
19908.4 0.394 0.434
19896.9 0.395 0.435
19866.5 0.416 0.458
19861.7 0.432 0.476
19856.0 0.444 0.489
19852.8 0.452 0.498
19825.6 0.454 0.500
19824.7 0.455 0.501
19823.3 0.463 0.510
19821.9 0.468 0.516
19815.8 0.481 0.530
19803.1 0.486 0.536
19776.0 0.495 0.545
19763.3 0.498 0.549
19748.8 0.506 0.558
19740.8 0.509 0.561
19727.3 0.515 0.568
19726.3 0.516 0.569
19723.7 0.540 0.595
19711.8 0.548 0.604
19711.3 0.571 0.629
19711.0 0.585 0.645
19710.5 0.586 0.646
19699.3 0.606 0.668
19690.6 0.679 0.748
19681.1 0.688 0.758
19679.0 0.709 0.781
19676.2 0.726 0.800
19672.4 0.758 0.835
19656.4 0.761 0.839
19647.5 0.762 0.840
19647.3 0.764 0.842
19646.1 0.777 0.856
19645.9 0.782 0.862
19631.1 0.797 0.878
19629.3 0.812 0.895
19629.2 0.818 0.901
19626.3 0.821 0.905
19626.1 0.827 0.911
19619.6 0.831 0.916
19603.1 0.835 0.920
19591.6 0.867 0.955
19558.8 0.870 0.959
19553.0 0.872 0.961
19548.1 0.893 0.984
19547.7 1.010 1.113
19542.9 1.011 1.114
19538.9 1.026 1.131
19536.9 1.075 1.185
19536.8 1.089 1.200
19521.6 1.136 1.252
19515.5 1.146 1.263
19515.3 1.147 1.264
19513.1 1.162 1.281
19512.2 1.191 1.312
19491.5 1.192 1.314
19489.1 1.201 1.324
19484.2 1.235 1.361
19477.6 1.240 1.366
19471.7 1.304 1.437
19467.7 1.306 1.439
19467.0 1.357 1.495
19466.2 1.374 1.514
19465.9 1.412 1.556
19465.8 1.438 1.585
19457.7 1.637 1.804
19448.5 1.639 1.806
19447.5 1.640 1.807
19444.9 1.664 1.834
19444.4 1.708 1.882
19443.0 1.757 1.936
19442.8 1.771 1.952
19439.4 1.778 1.959
19439.2 1.798 1.981
19435.4 1.808 1.992
19435.3 1.845 2.033
19434.0 1.890 2.083
19432.1 1.921 2.117
19431.9 1.932 2.129
19428.7 2.042 2.250
19427.1 2.043 2.251
19426.9 2.049 2.258
19426.4 2.236 2.464
19425.4 2.272 2.504
19397.3 2.320 2.557
19397.0 2.380 2.623
19396.0 2.402 2.647
