0,,,ALNS++,WFI,LOG-UFPB,Vavavuma!,HustSmart,Alkaid-X,WouterCo
1,C101,PI,0.136822222,0.00025,0.000183333,0.000283333,0.000077800 ,0.000046100 ,0.000055600 
2,827.3,Best sol.,827.3,827.3,827.3,827.3,827.3,827.3,827.3
3,C102,PI,0.277764503,0.000248729,0.000188889,0.000270494,0.000112267,0.0000963,0.0000444
4,827.3,Best sol.,827.3,827.3,827.3,827.3,827.3,827.3,827.3
5,C103,PI,0.423377382,0.000200559,0.000161111,0.000357097,0.000220474,0.000136872,0.0000555
6,826.3,Best sol.,826.3,826.3,826.3,826.3,826.3,826.3,826.3
7,C104,PI,0.572653255,0.000269205,0.000127778,0.000240278,0.000318734,0.000134629,0.000330767
8,822.9,Best sol.,822.9,822.9,822.9,822.9,822.9,822.9,822.9
9,C105,PI,0.723847424,0.000127886,0.000155556,0.000144444,0.0000558,0.0000589,0.0000611
10,827.3,Best sol.,827.3,827.3,827.3,827.3,827.3,827.3,827.3
11,C106,PI,0.646700322,0.000160832,0.000161111,0.000147681,0.0000908,0.000061326,0.0000556
12,827.3,Best sol.,827.3,827.3,827.3,827.3,827.3,827.3,827.3
13,C107,PI,0.565414441,0.000180393,0.000166667,0.000155556,0.0000783,0.0000722,0.0000556
14,827.3,Best sol.,827.3,827.3,827.3,827.3,827.3,827.3,827.3
15,C108,PI,0.57290783,0.000174373,0.000296111,0.000144444,0.000210792,0.0000889,0.0000778
16,827.3,Best sol.,827.3,827.3,827.3,827.3,827.3,827.3,827.3
17,C109,PI,0.59779014,0.000163765,0.000176647,0.000205419,0.000164052,0.0000831,0.0000222
18,827.3,Best sol.,827.3,827.3,827.3,827.3,827.3,827.3,827.3
19,C201,PI,0.589037098,0.000160864,0.000266667,0.000144444,0.0000736,0.0000722,0.0000667
20,589.1,Best sol.,589.1,589.1,589.1,589.1,589.1,589.1,589.1
21,C202,PI,0.617802033,0.000328512,0.000238889,0.000144444,0.000136163,0.000131148,0.0000844
22,589.1,Best sol.,589.1,589.1,589.1,589.1,589.1,589.1,589.1
23,C203,PI,0.602995477,0.000334608,0.000539929,0.000233738,0.000181128,0.00051051,0.000188899
24,588.7,Best sol.,588.7,588.7,588.7,588.7,588.7,588.7,588.7
25,C204,PI,0.600931495,0.000411705,0.000342429,0.000267635,0.008008275,0.000312215,0.00068006
26,588.1,Best sol.,588.1,588.1,588.1,588.1,588.1,588.1,588.1
27,C205,PI,0.605421781,0.000264378,0.000233333,0.000169084,0.000128608,0.0000884,0.000213067
28,586.4,Best sol.,586.4,586.4,586.4,586.4,586.4,586.4,586.4
29,C206,PI,0.600013965,0.000287931,0.000346909,0.000144444,0.000122336,0.0000833,0.0000935
30,586,Best sol.,586,586,586,586,586,586,586
31,C207,PI,0.602506405,0.000226357,0.000211111,0.000161111,0.000136169,0.000120388,0.0000333
32,585.8,Best sol.,585.8,585.8,585.8,585.8,585.8,585.8,585.8
33,C208,PI,0.611977397,0.000249729,0.000282982,0.000161111,0.000118387,0.000119389,0.0000778
34,585.8,Best sol.,585.8,585.8,585.8,585.8,585.8,585.8,585.8
35,R101,PI,0.600461761,0.003968448,0.000301124,0.000429908,0.000444939,0.000106347,0.003546349
36,1637.7,Best sol.,1637.7,1637.7,1637.7,1637.7,1637.7,1637.7,1637.7
37,R102,PI,0.602839726,0.000594038,0.000191299,0.000814207,0.000256869,0.000120767,0.001893741
38,1466.6,Best sol.,1466.6,1466.6,1466.6,1466.6,1466.6,1466.6,1466.6
39,R103,PI,0.607908125,0.003101855,0.000627268,0.001325122,0.002709567,0.000317956,0.001647166
40,1208.7,Best sol.,1208.7,1208.7,1208.7,1208.7,1208.7,1208.7,1208.7
41,R104,PI,0.730389121,0.009156571,0.00585145,0.001073057,0.004849348,0.001171459,0.000782856
42,971.5,Best sol.,976,971.5,971.5,971.5,971.5,971.5,971.5
43,R105,PI,0.143959103,0.002669889,0.000481482,0.010888174,0.000998071,0.000555039,0.000599429
44,1355.3,Best sol.,1355.3,1355.3,1355.3,1355.3,1355.3,1355.3,1355.3
45,R106,PI,0.280922678,0.00268327,0.000674392,0.009461115,0.00174581,0.001484095,0.000565376
46,1234.6,Best sol.,1234.6,1234.6,1234.6,1234.6,1234.6,1234.6,1234.6
47,R107,PI,0.451669051,0.004404295,0.000852274,0.127796951,0.004054829,0.00089551,0.001213524
48,1064.6,Best sol.,1064.6,1064.6,1064.6,1064.6,1064.6,1064.6,1064.6
49,R108,PI,0.921345633,0.007575171,0.0185794,0.87632031,0.022979036,0.000688842,0.001478186
50,932.1,Best sol.,936.7,932.1,932.1,938.8,932.1,932.1,932.1
51,R109,PI,0.142521234,0.002990532,0.000811546,0.002912893,0.004767599,0.000531123,0.001099689
52,1146.9,Best sol.,1146.9,1146.9,1146.9,1146.9,1146.9,1146.9,1146.9
53,R110,PI,0.476754781,0.003500229,0.004698039,0.010537308,0.01149625,0.001080993,0.00129703
54,1068,Best sol.,1068,1068,1068,1068,1068,1068,1068
55,R111,PI,0.182002907,0.002336828,0.001357845,0.01862514,0.001512529,0.001465416,0.000709206
56,1048.7,Best sol.,1048.7,1048.7,1048.7,1048.7,1048.7,1048.7,1048.7
57,R112,PI,0.446093813,-0.023251112,-0.024913718,0.267524913,0.001765618,-0.027391553,-0.030681037
58,948.9,Best sol.,950.5,948.6,948.6,950.4,948.6,948.6,948.6
59,R201,PI,0.217173776,0.016624496,0.000683364,0.000861734,0.034084028,0.00074672,0.001920496
60,1143.2,Best sol.,1143.2,1143.2,1143.2,1143.2,1143.2,1143.2,1143.2
61,R202,PI,0.282833216,0.023141693,0.002284399,0.001013212,0.009032339,0.001139669,0.002945673
62,1029.6,Best sol.,1030.6,1029.6,1029.6,1029.6,1029.6,1029.6,1029.6
63,R203,PI,0.14413894,0.013493605,0.000712011,0.00852555,0.012988666,0.000658115,0.001342639
64,870.8,Best sol.,870.8,870.8,870.8,870.8,870.8,870.8,870.8
65,R204,PI,0.299866917,0.00210502,0.073639964,0.000957774,0.008533865,0.001042304,0.001399574
66,731.3,Best sol.,731.3,731.3,731.8,731.3,731.3,731.3,731.3
67,R205,PI,0.441175713,0.002811725,0.163070753,0.248010889,0.004348052,0.001527777,0.001675389
68,949.8,Best sol.,949.9,949.8,951.3,951.3,949.8,949.8,949.8
69,R206,PI,0.687749084,0.090100962,0.005475963,0.000640943,0.013168375,0.001954538,0.002436551
70,875.9,Best sol.,880.6,875.9,875.9,875.9,875.9,875.9,875.9
71,R207,PI,0.162430619,0.004510104,0.000734061,0.028089393,0.00802402,0.005392961,0.001367275
72,794,Best sol.,794,794,794,794,794,794,794
73,R208,PI,0.298402512,0.00216887,0.216487542,0.000804739,0.007326597,0.001920875,0.000923221
74,701,Best sol.,701,701,702.5,701,701,701,701
75,R209,PI,1.056328286,0.00590972,0.002388442,0.000756738,0.001120041,0.001000256,0.001771932
76,854.8,Best sol.,861.6,854.8,854.8,854.8,854.8,854.8,854.8
77,R210,PI,0.230554053,0.001384138,0.049855744,0.834047742,0.043477892,0.006586381,0.002303841
78,900.5,Best sol.,900.9,900.5,900.8,908,900.5,900.5,900.5
79,R211,PI,0.862068307,0.003158166,0.681971778,0.802868537,0.015132572,0.194811588,0.001666993
80,746.7,Best sol.,751.7,746.7,751.7,751.7,746.7,746.7,746.7
81,RC101,PI,0.168154991,0.005101795,0.015616232,0.911962772,0.364429911,0.00091566,0.000697551
82,1619.8,Best sol.,1619.8,1619.8,1619.8,1634.2,1619.8,1619.8,1619.8
83,RC102,PI,0.476896353,0.004947855,0.00943025,0.244599504,0.008206024,0.000494967,0.001072514
84,1457.4,Best sol.,1457.4,1457.4,1457.4,1457.4,1457.4,1457.4,1457.4
85,RC103,PI,0.203092908,0.017297266,0.007808174,0.288926475,0.015081377,0.00169637,0.002973715
86,1258,Best sol.,1258,1258,1258,1258,1258,1258,1258
87,RC104,PI,0.186259918,0.002427988,0.001674994,0.005155412,0.001362589,0.000413188,0.000771782
88,1132.3,Best sol.,1132.3,1132.3,1132.3,1132.3,1132.3,1132.3,1132.3
