0,ins,ALNS++,bks,WFI,bks,LOG-UFPB,bks,Vavavuma!,bks,HustSmart,bks,Alkaid-X,bks,WouterCo,bks,minpi,mbks
350,RC2_10_3,0.421951788,19796.8,1.011948767,19784.7,2.892138591,20208.9,0.465629588,19810.1,0.003444658,19697.1,-0.128036747,19682,-0.310129046,19665.6,-0.310129046,19665.6
175,RC2_4_8,1.156590825,4756.2,1.00856715,4747,0.847834882,4717.8,0.492638366,4728.5,0.063631649,4703.1,-0.038114516,4697.4,-0.238368258,4693.3,-0.238368258,4693.3
287,RC2_8_10,1.673446919,14665.4,1.238363938,14584.8,2.436817936,14665.8,0.951543433,14564.4,0.642469904,14483.3,0.300273053,14420,-0.234299011,14376.2,-0.234299011,14376.2
227,RC2_6_10,1.506641277,9136.2,1.106334636,9089,0.960189498,9063.4,0.781342435,9075.6,0.48483667,8989.9,0.137919945,9011.5,-0.217503319,8976.1,-0.217503319,8976.1
211,R2_6_4,1.60928087,8056.7,1.500473023,8016.4,2.438938893,8054.4,0.700271703,7986.5,0.451285771,7945,0.75424637,7962.6,-0.203030431,7915.1,-0.203030431,7915.1
231,RC2_6_4,2.679659143,7169.2,1.255181545,7027.7,3.34028647,7073.2,0.491056569,7000.4,0.298068055,6985,0.168804651,6979.6,-0.196040216,6967.5,-0.196040216,6967.5
296,RC2_8_9,0.273076869,15270.4,1.473753228,15436.3,1.269979723,15371.6,0.903590047,15291.8,0.524831802,15266.2,0.015369381,15225.6,-0.161953987,15206.2,-0.161953987,15206.2
162,RC1_4_5,0.684399042,8213.5,1.361176026,8257.9,1.041441401,8226.3,0.885388219,8230.4,0.63979817,8205.1,0.484302021,8195.3,-0.1619199,8154.6,-0.1619199,8154.6
331,R2_10_4,1.467139497,18212.5,2.263633093,18209.7,4.546164634,18606.9,0.673883196,18039.5,1.346917969,17953.4,1.851594918,18205.2,-0.158582871,17870.1,-0.158582871,17870.1
351,RC2_10_4,3.119682618,16287.6,1.672239623,16025.1,5.667005956,16606.3,1.783089403,16045.2,0.657664883,15758.3,0.809605576,15864.1,-0.137067546,15716.2,-0.137067546,15716.2
173,RC2_4_6,0.018112743,5328.4,0.450828249,5343.8,0.049102262,5332,0.136287548,5338.3,-0.052271338,5328.1,-0.041274293,5328.4,-0.113268975,5324.6,-0.113268975,5324.6
356,RC2_10_9,1.623525702,23204,2.469957232,23325.2,1.6581713,23169.3,0.503667932,22951.6,0.767638923,22959.2,0.018293169,22800,-0.110824656,22796.2,-0.110824656,22796.2
251,C2_8_4,1.413320764,10805.1,2.927268024,10894.8,3.581536411,11005.3,1.69051273,10790.9,0.404150558,10697.6,0.308133959,10661.8,-0.087591875,10659.7,-0.087591875,10659.7
140,R1_4_3,0.842051374,7859.9,1.240122381,7888.1,0.824779842,7845.3,1.117315241,7879,0.319935041,7809.8,0.508404008,7832.6,-0.080577039,7790.2,-0.080577039,7790.2
311,C2_10_4,3.01206994,15910.6,4.091329465,15927.8,7.972508321,16563.8,4.023492058,16048.9,0.773826514,15527.4,0.412579578,15484.7,-0.072235464,15463.6,-0.072235464,15463.6
172,RC2_4_5,0.800216209,5434,0.288045384,5398.4,0.648915989,5426.3,0.467790801,5420.1,0.064859786,5394.7,0.025857316,5396.9,-0.065253715,5392.3,-0.065253715,5392.3
153,R2_4_6,1.054899193,5872.5,1.165107178,5861.3,1.135374569,5866.4,0.212664366,5827,0.18185667,5818.3,-0.04065883,5813.5,-0.05692152,5813.5,-0.05692152,5813.5
