12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R1_4_5
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 10107.460
BKS: 9188.6
Optimal: 0
Thu 10 Feb 2022 10:06:35 AM CST
timestamp: 1644458795
Solution value, local machine time, standardized time
10081.9 0.126 0.125
10054.8 0.127 0.126
10050.4 0.130 0.129
10021.9 0.138 0.137
10009.2 0.139 0.138
9996.4 0.141 0.140
9986.1 0.143 0.142
9978.8 0.145 0.144
9977.4 0.149 0.148
9974.4 0.151 0.150
9973.2 0.152 0.151
9962.3 0.154 0.153
9880.8 0.176 0.174
9804.3 0.177 0.175
9768.6 0.179 0.177
9760.4 0.265 0.262
9731.1 0.273 0.270
9731.0 0.275 0.272
9711.5 0.281 0.278
9705.9 0.282 0.279
9698.0 0.294 0.291
9695.4 0.308 0.305
9685.9 0.326 0.323
9680.5 0.329 0.326
9673.1 0.334 0.331
9672.4 0.344 0.341
9661.3 0.361 0.358
9660.1 0.391 0.387
9660.0 0.402 0.398
9657.6 0.406 0.402
9656.6 0.417 0.413
9643.6 0.428 0.424
9641.3 0.429 0.425
9636.5 0.481 0.476
9634.7 0.495 0.490
9628.8 0.505 0.500
9628.1 0.528 0.523
9624.8 0.539 0.534
9610.4 0.540 0.535
9598.6 0.551 0.546
9592.8 0.578 0.573
9571.7 0.642 0.636
9554.5 0.644 0.638
9547.0 0.771 0.764
9546.6 0.820 0.812
9546.2 0.838 0.830
9538.6 0.839 0.831
9538.0 0.873 0.865
9530.3 0.881 0.873
9508.4 0.883 0.875
9508.3 0.949 0.940
9506.8 0.976 0.967
9504.0 0.981 0.972
9501.7 1.011 1.001
9500.5 1.136 1.125
9498.9 1.603 1.588
9496.4 1.855 1.837
9493.1 1.857 1.839
9488.5 2.118 2.098
9483.5 2.122 2.102
9481.7 2.145 2.125
9476.3 2.296 2.274
9473.4 2.312 2.290
9470.9 2.323 2.301
9464.2 2.401 2.378
9463.7 2.544 2.520
9460.5 2.602 2.577
9456.2 2.980 2.952
9444.9 3.013 2.984
9421.3 3.015 2.986
9420.5 3.029 3.000
9419.3 3.235 3.204
9414.7 3.537 3.503
9414.6 3.772 3.736
9412.1 3.847 3.810
9411.3 4.100 4.061
9406.0 4.121 4.082
9404.7 4.177 4.137
9404.6 4.199 4.159
9394.7 4.218 4.178
9392.7 4.262 4.222
9384.2 4.375 4.333
9383.1 4.569 4.526
9380.5 4.579 4.535
9367.5 4.748 4.703
9365.8 4.763 4.718
9360.7 5.033 4.985
9357.1 5.084 5.036
9353.1 5.101 5.053
9351.7 7.244 7.175
9347.6 7.245 7.176
9346.3 7.324 7.254
9345.7 7.354 7.284
9342.2 7.395 7.325
9340.2 7.435 7.364
9338.0 8.134 8.057
9337.8 8.854 8.770
9336.3 9.656 9.564
9335.1 9.824 9.731
9331.4 10.340 10.242
9313.3 10.342 10.244
9313.0 10.699 10.597
9310.9 32.625 32.315
9309.6 32.658 32.348
9307.9 32.739 32.428
9299.6 32.747 32.436
9297.9 33.947 33.625
9290.0 34.166 33.841
9288.8 34.576 34.248
9284.0 34.580 34.251
9281.8 34.941 34.609
9279.6 35.860 35.519
9274.6 36.130 35.787
9272.6 39.108 38.736
9270.9 39.463 39.088
9270.3 40.298 39.915
9267.8 40.911 40.522
9265.9 41.454 41.060
9265.7 42.634 42.229
9255.0 42.670 42.265
9250.1 42.672 42.267
9250.0 43.868 43.451
9249.8 44.724 44.299
9245.7 44.777 44.352
9235.7 46.753 46.309
9232.8 47.516 47.065
9231.9 47.819 47.365
9230.0 47.820 47.366
9229.0 58.263 57.710
9228.4 58.313 57.759
9227.4 74.621 73.912
9226.1 74.624 73.915
9223.6 75.341 74.625
9223.5 75.889 75.168
9221.8 76.177 75.453
9221.3 76.195 75.471
9221.2 76.454 75.728
9219.0 76.457 75.731
9218.4 76.886 76.156
9218.0 77.064 76.332
9217.7 77.424 76.688
9216.8 77.427 76.691
9215.8 77.750 77.011
9213.5 78.541 77.795
9212.6 78.546 77.800
9210.3 78.854 78.105
9209.7 86.648 85.825
9209.5 225.094 222.956
9208.9 226.499 224.347
9208.5 226.883 224.728
9205.9 227.797 225.633
9202.8 1273.451 1261.353
9202.4 3225.326 3194.685
9202.1 3232.779 3202.068
Primal Integral: 0.1856947401
