12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R110
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1174.800
BKS: 1068.0
Optimal: 1
Fri 14 Jan 2022 06:34:44 PM CST
timestamp: 1642156484
Solution value, local machine time, standardized time
1174.0 0.005 0.005
1171.2 0.005 0.005
1164.4 0.005 0.005
1161.2 0.006 0.006
1158.7 0.006 0.006
1158.0 0.006 0.006
1156.8 0.006 0.006
1155.5 0.006 0.006
1153.3 0.006 0.006
1151.5 0.006 0.006
1150.2 0.006 0.006
1148.9 0.007 0.007
1148.2 0.007 0.007
1148.0 0.007 0.007
1147.4 0.007 0.007
1147.1 0.008 0.008
1147.0 0.012 0.012
1146.6 0.012 0.012
1145.3 0.012 0.012
1142.7 0.012 0.012
1139.6 0.012 0.012
1139.0 0.012 0.012
1138.9 0.012 0.012
1138.8 0.012 0.012
1128.9 0.015 0.015
1128.3 0.019 0.019
1128.2 0.019 0.019
1127.6 0.019 0.019
1125.1 0.023 0.023
1123.3 0.023 0.023
1121.3 0.023 0.023
1115.0 0.023 0.023
1114.0 0.027 0.027
1113.1 0.027 0.027
1109.0 0.102 0.101
1108.8 0.111 0.110
1106.6 0.116 0.115
1103.7 0.116 0.115
1103.6 0.116 0.115
1100.9 0.116 0.115
1099.5 0.118 0.117
1099.4 0.118 0.117
1098.8 0.141 0.140
1096.2 0.309 0.306
1095.1 0.309 0.306
1094.1 0.359 0.356
1093.8 0.361 0.358
1092.1 0.368 0.365
1091.8 0.369 0.365
1088.7 0.370 0.366
1085.8 0.370 0.366
1085.6 1.025 1.015
1083.6 1.025 1.015
1080.5 1.029 1.019
1076.8 1.029 1.019
1076.2 4.404 4.362
1075.8 4.414 4.372
1073.9 9.833 9.740
1072.3 9.833 9.740
1071.9 9.833 9.740
1070.6 9.834 9.741
1069.1 9.834 9.741
1068.0 9.851 9.757
Primal Integral: 0.0050156315
