12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC207
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1059.190
BKS: 962.9
Optimal: 1
Fri 14 Jan 2022 06:35:12 PM CST
timestamp: 1642156512
Solution value, local machine time, standardized time
1059.1 0.022 0.022
1053.7 0.024 0.024
1051.6 0.024 0.024
1050.7 0.025 0.025
1050.2 0.026 0.026
1046.0 0.029 0.029
1045.6 0.029 0.029
1044.8 0.030 0.030
1044.7 0.030 0.030
1042.0 0.050 0.050
1038.7 0.050 0.050
1038.6 0.050 0.050
1037.5 0.073 0.072
1037.2 0.096 0.095
1035.1 0.096 0.095
1034.5 0.134 0.133
1034.2 0.146 0.145
1033.0 0.146 0.145
1032.3 0.146 0.145
1031.8 0.146 0.145
1030.8 0.154 0.153
1028.7 0.154 0.153
1026.0 0.164 0.162
1025.1 0.164 0.162
1023.5 0.164 0.162
1021.9 0.164 0.162
1017.7 0.164 0.162
1017.1 0.173 0.171
1012.8 0.260 0.258
1012.1 0.260 0.258
1011.1 0.273 0.270
1010.9 0.389 0.385
1010.1 0.389 0.385
1008.8 0.497 0.492
1008.2 0.513 0.508
1008.1 0.711 0.704
1007.5 0.715 0.708
1006.8 0.715 0.708
1005.3 0.715 0.708
1003.3 0.715 0.708
1002.1 0.715 0.708
1001.9 0.817 0.809
1000.7 0.818 0.810
999.5 0.824 0.816
998.9 0.825 0.817
996.2 1.371 1.358
995.2 1.701 1.685
989.1 1.702 1.686
983.3 1.731 1.715
976.3 1.741 1.724
975.9 1.741 1.724
975.4 1.747 1.730
974.6 1.755 1.738
968.2 1.755 1.738
964.7 19.962 19.772
963.3 25.258 25.018
962.9 58.092 57.540
Primal Integral: 0.0111119119
