12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: C1_4_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 7824.630
BKS: 7113.3
Optimal: 1
Fri 14 Jan 2022 05:29:38 PM CST
timestamp: 1642152578
Solution value, local machine time, standardized time
7804.8 0.262 0.260
7801.4 0.263 0.261
7766.1 0.263 0.261
7637.1 0.264 0.261
7636.8 0.264 0.261
7634.1 0.265 0.262
7601.1 0.271 0.268
7600.8 0.271 0.268
7600.4 0.271 0.268
7597.8 0.274 0.271
7593.5 0.275 0.272
7592.3 0.275 0.272
7591.5 0.276 0.273
7591.0 0.276 0.273
7559.3 0.282 0.279
7557.3 0.283 0.280
7555.4 0.283 0.280
7550.5 0.284 0.281
7545.0 0.285 0.282
7509.3 0.285 0.282
7507.8 0.286 0.283
7501.9 0.287 0.284
7490.2 0.287 0.284
7463.1 0.288 0.285
7421.8 0.289 0.286
7415.3 0.289 0.286
7413.4 0.290 0.287
7412.6 0.294 0.291
7410.8 0.296 0.293
7405.5 0.296 0.293
7404.5 0.297 0.294
7401.1 0.300 0.297
7400.9 0.301 0.298
7398.9 0.301 0.298
7353.1 0.301 0.298
7352.6 0.302 0.299
7351.4 0.302 0.299
7351.3 0.302 0.299
7351.2 0.303 0.300
7350.5 0.303 0.300
7345.0 0.323 0.320
7341.9 0.329 0.326
7341.8 0.332 0.329
7339.9 0.349 0.346
7338.5 0.350 0.347
7335.2 0.366 0.363
7334.5 0.366 0.363
7334.4 0.367 0.364
7333.3 0.367 0.364
7331.3 0.368 0.365
7328.0 0.373 0.369
7327.5 0.375 0.371
7327.3 0.381 0.377
7323.4 0.382 0.378
7320.3 0.383 0.379
7319.5 0.386 0.382
7319.1 0.388 0.384
7318.7 0.388 0.384
7315.4 0.399 0.395
7315.0 0.400 0.396
7314.7 0.402 0.398
7295.0 0.474 0.469
7293.2 0.475 0.470
7290.9 0.475 0.470
7288.3 0.476 0.471
7279.5 0.478 0.473
7279.2 0.479 0.474
7278.8 0.479 0.474
7278.7 0.480 0.475
7278.6 0.480 0.475
7276.9 0.481 0.476
7276.8 0.481 0.476
7276.7 0.495 0.490
7276.6 0.496 0.491
7276.5 0.496 0.491
7275.7 0.497 0.492
7262.9 0.530 0.525
7248.0 0.531 0.526
7238.8 0.533 0.528
7231.0 0.533 0.528
7229.6 0.533 0.528
7229.5 0.534 0.529
7227.8 0.534 0.529
7197.4 0.535 0.530
7150.6 0.535 0.530
7140.0 0.536 0.531
7138.7 0.536 0.531
7137.8 0.537 0.532
7135.4 0.537 0.532
7132.9 0.538 0.533
7130.6 0.538 0.533
7130.3 0.539 0.534
7126.6 0.539 0.534
7123.1 0.540 0.535
7118.9 0.540 0.535
7117.6 1.565 1.550
7117.5 1.565 1.550
7117.0 1.578 1.563
7116.8 1.579 1.564
7116.1 1.597 1.582
7115.7 1.599 1.584
7115.6 1.618 1.603
7115.5 1.645 1.629
7115.3 1.852 1.834
7114.7 4.311 4.270
7114.6 4.312 4.271
7114.5 4.312 4.271
7114.1 4.335 4.294
7113.9 5.303 5.253
7113.4 23.046 22.827
7113.3 23.111 22.891
Primal Integral: 0.0010550190
