12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R112
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1043.790
BKS: 948.9
Optimal: 1
Fri 14 Jan 2022 05:18:54 PM CST
timestamp: 1642151934
Solution value, local machine time, standardized time
1038.8 0.017 0.017
1038.4 0.019 0.019
1034.5 0.025 0.025
1034.1 0.025 0.025
1033.9 0.025 0.025
1033.7 0.026 0.026
1033.4 0.026 0.026
1032.9 0.028 0.028
1032.6 0.028 0.028
1031.4 0.031 0.031
1030.1 0.041 0.041
1030.0 0.042 0.042
1028.4 0.042 0.042
1025.2 0.042 0.042
1024.6 0.043 0.043
1021.9 0.046 0.046
1018.8 0.046 0.046
1016.7 0.046 0.046
1016.6 0.046 0.046
1015.9 0.046 0.046
1015.1 0.046 0.046
1005.9 0.049 0.049
1003.4 0.061 0.060
1002.3 0.061 0.060
1001.4 0.061 0.060
1000.6 0.061 0.060
998.6 0.062 0.061
996.6 0.062 0.061
995.1 0.062 0.061
992.3 0.062 0.061
991.8 0.066 0.065
991.1 0.067 0.066
990.2 0.077 0.076
988.6 0.078 0.077
984.7 0.080 0.079
983.0 0.083 0.082
982.6 0.083 0.082
981.1 0.083 0.082
978.8 0.083 0.082
976.6 0.089 0.088
976.5 0.133 0.132
976.1 0.133 0.132
973.6 0.134 0.133
973.1 0.185 0.183
971.1 0.312 0.309
969.2 0.316 0.313
969.1 0.342 0.339
967.2 0.363 0.360
967.0 0.369 0.365
966.6 0.380 0.376
965.4 1.554 1.539
964.2 1.748 1.731
963.1 5.036 4.988
962.2 5.036 4.988
961.9 5.036 4.988
961.1 5.094 5.046
959.5 5.094 5.046
957.0 5.094 5.046
951.5 5.108 5.059
950.4 5.273 5.223
Primal Integral: 0.1627537107
