12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: R2_4_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 7131.080
BKS: 6482.8
Optimal: 1
Fri 14 Jan 2022 05:52:17 PM CST
timestamp: 1642153937
Solution value, local machine time, standardized time
7117.4 2.976 2.948
7116.4 2.976 2.948
7115.2 2.977 2.949
7115.1 2.984 2.956
7113.7 3.263 3.232
7112.2 3.298 3.267
7111.7 3.301 3.270
7108.0 3.302 3.271
7106.1 3.307 3.276
7105.1 3.341 3.309
7103.2 3.488 3.455
7102.6 3.488 3.455
7102.2 3.500 3.467
7095.1 3.614 3.580
7095.0 3.615 3.581
7094.5 3.615 3.581
7087.3 3.634 3.599
7084.0 3.649 3.614
7077.3 3.650 3.615
7077.2 3.650 3.615
7076.9 3.672 3.637
7074.0 3.675 3.640
7072.0 3.676 3.641
7071.9 4.092 4.053
7070.3 4.094 4.055
7070.0 4.095 4.056
7069.8 4.103 4.064
7069.4 6.235 6.176
7068.3 6.299 6.239
7065.9 7.152 7.084
7065.0 7.153 7.085
7064.4 7.153 7.085
7064.0 7.153 7.085
7063.6 7.153 7.085
7063.0 8.626 8.544
7062.8 8.626 8.544
7062.4 17.391 17.226
7061.8 17.392 17.227
7061.7 17.406 17.241
7057.6 17.413 17.248
7057.5 17.418 17.253
7057.4 17.443 17.277
7056.7 17.598 17.431
7056.6 17.679 17.511
7052.9 17.801 17.632
7052.7 17.803 17.634
7050.7 17.805 17.636
7049.4 17.827 17.658
7047.1 17.828 17.659
7046.7 17.850 17.680
7045.7 17.870 17.700
7045.4 17.870 17.700
7040.3 17.871 17.701
7039.9 17.900 17.730
7038.9 17.934 17.764
7038.0 17.934 17.764
7037.9 17.978 17.807
7036.5 17.982 17.811
7036.4 17.982 17.811
7036.1 17.982 17.811
7035.5 17.983 17.812
7034.3 17.983 17.812
7033.6 17.984 17.813
7031.5 17.986 17.815
7031.4 17.986 17.815
7029.0 17.986 17.815
7028.3 17.987 17.816
7026.9 17.987 17.816
7024.6 17.989 17.818
7024.4 18.029 17.858
7023.9 18.029 17.858
7023.5 18.043 17.872
7023.4 18.090 17.918
7023.3 18.094 17.922
7022.4 18.103 17.931
7020.7 18.125 17.953
7019.8 21.473 21.269
7017.9 21.665 21.459
7011.6 21.666 21.460
7010.1 21.871 21.663
7010.0 21.871 21.663
7009.0 22.499 22.285
7008.6 22.502 22.288
7007.5 22.513 22.299
7005.5 22.517 22.303
7005.3 22.518 22.304
7004.4 22.523 22.309
6998.1 22.525 22.311
6997.8 22.526 22.312
6997.7 22.527 22.313
6995.6 22.674 22.459
6995.0 23.380 23.158
6994.0 23.380 23.158
6993.8 23.389 23.167
6993.4 23.525 23.302
6983.3 23.865 23.638
6982.9 23.865 23.638
6982.5 23.955 23.727
6982.0 23.955 23.727
6981.1 23.956 23.728
6979.0 24.239 24.009
6978.5 24.241 24.011
6978.4 24.241 24.011
6977.8 25.693 25.449
6977.7 25.694 25.450
6977.2 25.715 25.471
6976.7 25.716 25.472
6975.6 25.782 25.537
6975.2 25.880 25.634
6967.8 27.890 27.625
6964.1 27.891 27.626
6963.7 27.892 27.627
6962.6 27.893 27.628
6962.5 27.894 27.629
6962.1 27.897 27.632
6961.9 27.898 27.633
6958.4 27.898 27.633
6958.3 27.907 27.642
6954.7 27.908 27.643
6951.8 27.916 27.651
6939.8 27.920 27.655
6938.4 27.920 27.655
6938.2 27.921 27.656
6931.2 27.926 27.661
6929.5 27.928 27.663
6928.7 27.928 27.663
6928.5 27.964 27.698
6928.2 27.965 27.699
6927.9 27.965 27.699
6926.5 27.977 27.711
6926.3 28.009 27.743
6925.1 28.012 27.746
6924.8 28.013 27.747
6914.1 28.017 27.751
6912.3 28.018 27.752
6909.9 28.018 27.752
6903.6 28.018 27.752
6902.9 28.019 27.753
6902.2 28.019 27.753
6892.3 28.037 27.771
6891.6 28.046 27.780
6890.2 28.066 27.799
6890.0 28.066 27.799
6889.6 28.067 27.800
6887.5 28.067 27.800
6886.4 28.067 27.800
6886.1 28.068 27.801
6885.1 28.068 27.801
6885.0 28.069 27.802
6883.7 28.075 27.808
6877.9 28.086 27.819
6877.8 28.087 27.820
6877.0 28.087 27.820
6876.7 28.089 27.822
6872.3 28.089 27.822
6867.9 28.090 27.823
6855.0 28.090 27.823
6854.2 28.090 27.823
6854.0 28.246 27.978
6853.4 28.304 28.035
6847.4 28.305 28.036
6846.3 28.305 28.036
6840.6 28.366 28.097
6830.9 28.366 28.097
6825.1 28.366 28.097
6824.9 28.367 28.098
6815.3 28.367 28.098
6814.7 28.373 28.103
6814.4 28.377 28.107
6812.9 28.507 28.236
6812.8 28.507 28.236
6812.4 28.507 28.236
6811.4 28.619 28.347
6807.5 29.448 29.168
6806.9 29.448 29.168
6806.8 29.460 29.180
6806.7 29.500 29.220
6805.8 29.523 29.243
6803.3 29.554 29.273
6801.7 29.554 29.273
6801.4 29.555 29.274
6800.4 29.555 29.274
6799.2 29.607 29.326
6799.1 29.632 29.350
6798.7 85.744 84.929
6798.6 87.525 86.694
6795.4 87.529 86.697
6794.8 88.292 87.453
6794.5 88.926 88.081
6791.4 89.341 88.492
6791.3 89.341 88.492
6777.1 89.531 88.680
6776.8 90.165 89.308
6773.2 90.166 89.309
6772.0 90.166 89.309
6767.7 90.167 89.310
6765.4 90.167 89.310
6763.7 90.294 89.436
6760.7 90.812 89.949
6758.3 90.814 89.951
6758.1 90.874 90.011
6755.5 90.875 90.012
6755.0 90.877 90.014
6753.7 90.890 90.027
6753.0 90.890 90.027
6752.0 90.891 90.028
6750.5 90.892 90.029
6750.4 90.892 90.029
6728.6 90.893 90.030
6727.6 90.893 90.030
6724.8 91.028 90.163
6724.3 91.039 90.174
6723.4 91.042 90.177
6723.3 91.042 90.177
6722.5 91.043 90.178
6722.4 91.043 90.178
6722.3 91.044 90.179
6722.1 91.044 90.179
6721.3 91.058 90.193
6718.6 91.306 90.439
6718.1 91.308 90.441
6718.0 91.400 90.532
6715.3 91.729 90.858
6715.2 91.819 90.947
6714.5 92.008 91.134
6709.6 95.896 94.985
6709.4 95.896 94.985
6708.3 95.983 95.071
6708.1 95.983 95.071
6704.2 99.428 98.483
6701.8 99.429 98.484
6701.7 99.470 98.525
6700.5 99.475 98.530
6699.7 99.479 98.534
6699.5 99.690 98.743
6698.4 99.806 98.858
6698.0 99.807 98.859
6697.9 99.870 98.921
6697.4 99.958 99.008
6697.3 99.958 99.008
6696.7 99.996 99.046
6696.0 100.008 99.058
6693.5 100.010 99.060
6688.4 100.142 99.191
6687.1 100.238 99.286
6687.0 101.371 100.408
6686.8 101.376 100.413
6686.2 101.405 100.442
6682.5 101.444 100.480
6682.4 101.444 100.480
6681.2 101.448 100.484
6680.9 101.547 100.582
6678.9 101.646 100.680
6677.6 101.646 100.680
6677.1 101.647 100.681
6677.0 101.647 100.681
6676.5 101.648 100.682
6676.2 101.648 100.682
6674.8 101.649 100.683
6672.1 105.536 104.533
6670.8 105.725 104.721
6668.4 105.726 104.722
6667.2 105.726 104.722
6663.6 122.717 121.551
6660.3 122.717 121.551
6658.5 122.719 121.553
6655.9 122.719 121.553
6655.2 122.720 121.554
6654.4 122.720 121.554
6653.3 122.721 121.555
6651.5 123.099 121.930
6650.5 123.099 121.930
6649.5 123.153 121.983
6649.4 123.154 121.984
6649.1 123.154 121.984
6648.1 123.274 122.103
6647.3 123.586 122.412
6642.7 123.656 122.481
6641.4 123.966 122.788
6641.3 123.979 122.801
6640.0 124.302 123.121
6639.8 125.215 124.025
6634.9 132.964 131.701
6630.7 132.964 131.701
6629.2 132.965 131.702
6628.0 132.965 131.702
6627.8 132.980 131.717
6619.9 133.010 131.746
6618.2 133.011 131.747
6618.1 133.205 131.940
6616.8 133.226 131.960
6614.6 133.226 131.960
6613.5 133.227 131.961
6613.4 133.394 132.127
6612.1 133.395 132.128
6605.8 133.440 132.172
6599.8 133.441 132.173
6598.9 133.525 132.257
6598.8 133.620 132.351
6597.4 133.668 132.398
6594.9 133.668 132.398
6594.6 133.669 132.399
6594.4 133.670 132.400
6593.8 133.855 132.583
6589.8 138.007 136.696
6586.9 138.097 136.785
6586.5 138.122 136.810
6586.3 138.205 136.892
6585.2 138.206 136.893
6583.9 138.444 137.129
6581.5 138.445 137.130
6579.3 138.445 137.130
6574.5 138.456 137.141
6574.3 138.560 137.244
6572.8 142.568 141.214
6571.8 143.444 142.081
6570.7 177.149 175.466
6570.6 177.595 175.908
6570.5 184.006 182.258
6570.4 187.293 185.514
6567.7 189.063 187.267
6567.3 193.129 191.294
6566.1 268.363 265.814
6566.0 268.442 265.892
6565.0 268.520 265.969
6564.3 268.563 266.012
6564.2 269.339 266.780
6564.0 274.180 271.575
6563.9 279.972 277.312
6562.1 295.804 292.994
6560.7 295.804 292.994
6560.5 295.805 292.995
6558.2 295.805 292.995
6557.1 296.233 293.419
6556.0 296.236 293.422
6555.1 297.017 294.195
6554.9 297.020 294.198
6554.0 297.364 294.539
6553.8 298.148 295.316
6553.7 298.149 295.317
6552.2 298.160 295.327
6552.1 298.161 295.328
6551.9 298.161 295.328
6551.7 298.618 295.781
6551.4 298.619 295.782
6549.7 298.859 296.020
6549.5 298.859 296.020
6548.5 301.563 298.698
6547.3 302.241 299.370
6547.0 302.242 299.371
6546.9 302.242 299.371
6546.8 302.399 299.526
6531.1 302.599 299.724
6531.0 302.600 299.725
6530.3 302.600 299.725
6530.1 302.601 299.726
6529.2 302.602 299.727
6526.9 302.602 299.727
6522.0 302.631 299.756
6521.7 302.691 299.815
6520.7 302.692 299.816
6520.2 308.905 305.970
6520.1 308.905 305.970
6519.7 312.267 309.300
6519.6 312.268 309.301
6519.5 312.270 309.303
6519.1 314.475 311.487
6518.2 314.583 311.594
6515.9 314.730 311.740
6515.5 314.730 311.740
6512.5 314.890 311.899
6511.9 314.891 311.900
6511.8 314.892 311.901
6510.8 314.899 311.907
6510.5 314.900 311.908
6504.3 314.950 311.958
6503.8 321.189 318.138
6503.1 323.977 320.899
6503.0 323.994 320.916
6502.1 379.824 376.216
6502.0 380.080 376.469
6500.0 380.309 376.696
6499.9 380.767 377.150
Primal Integral: 0.4907850412
