12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC108
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 1225.620
BKS: 1114.2
Optimal: 1
Fri 14 Jan 2022 05:19:13 PM CST
timestamp: 1642151953
Solution value, local machine time, standardized time
1224.2 0.015 0.015
1224.0 0.023 0.023
1222.1 0.025 0.025
1221.8 0.025 0.025
1220.9 0.030 0.030
1220.1 0.030 0.030
1218.7 0.030 0.030
1214.6 0.030 0.030
1214.1 0.030 0.030
1213.9 0.030 0.030
1206.6 0.031 0.031
1204.1 0.033 0.033
1203.5 0.034 0.034
1195.7 0.037 0.037
1191.9 0.044 0.044
1189.1 0.045 0.045
1188.5 0.045 0.045
1188.4 0.045 0.045
1184.3 0.049 0.049
1181.5 0.049 0.049
1181.2 0.050 0.050
1180.7 0.053 0.052
1179.1 0.057 0.056
1173.9 0.057 0.056
1172.9 0.058 0.057
1171.1 0.058 0.057
1169.3 0.058 0.057
1168.9 0.058 0.057
1168.1 0.058 0.057
1167.6 0.058 0.057
1165.9 0.058 0.057
1165.8 0.058 0.057
1153.7 0.063 0.062
1153.0 0.063 0.062
1151.7 0.065 0.064
1144.9 0.070 0.069
1141.2 0.121 0.120
1140.2 0.121 0.120
1139.0 0.128 0.127
1138.0 0.128 0.127
1137.5 0.138 0.137
1137.4 0.138 0.137
1133.8 0.153 0.152
1131.5 0.627 0.621
1131.2 4.356 4.315
1131.1 4.364 4.323
1130.1 10.756 10.654
1127.5 49.000 48.535
1127.1 49.001 48.535
1124.5 49.001 48.535
1123.6 49.002 48.536
1121.8 49.198 48.731
1120.0 49.198 48.731
1116.0 49.773 49.300
1114.2 49.779 49.306
Primal Integral: 0.0396882018
