12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC1_2_6
Standardized Time limit: 1800 secs
Local Machine Time Limit: 1817 secs
Base solution: 3630.770
BKS: 3300.7
Optimal: 1
Fri 14 Jan 2022 05:22:06 PM CST
timestamp: 1642152126
Solution value, local machine time, standardized time
3629.4 0.055 0.054
3627.0 0.055 0.054
3625.7 0.055 0.054
3623.2 0.056 0.055
3616.2 0.057 0.056
3614.3 0.057 0.056
3599.9 0.083 0.082
3598.9 0.083 0.082
3594.4 0.083 0.082
3590.3 0.084 0.083
3588.3 0.084 0.083
3570.8 0.085 0.084
3567.4 0.085 0.084
3563.8 0.088 0.087
3557.8 0.088 0.087
3552.6 0.088 0.087
3548.8 0.088 0.087
3539.1 0.105 0.104
3532.7 0.114 0.113
3530.6 0.123 0.122
3528.9 0.124 0.123
3528.3 0.124 0.123
3524.7 0.125 0.124
3524.5 0.138 0.137
3523.6 0.144 0.143
3522.5 0.161 0.159
3521.7 0.166 0.164
3516.7 0.166 0.164
3515.1 0.166 0.164
3514.3 0.166 0.164
3512.3 0.167 0.165
3510.1 0.185 0.183
3508.1 0.186 0.184
3507.4 0.186 0.184
3506.3 0.189 0.187
3505.6 0.197 0.195
3504.3 0.197 0.195
3504.0 0.197 0.195
3503.8 0.197 0.195
3503.7 0.198 0.196
3503.0 0.198 0.196
3502.9 0.198 0.196
3502.2 0.198 0.196
3501.0 0.208 0.206
3499.0 0.216 0.214
3498.0 0.216 0.214
3497.1 0.216 0.214
3497.0 0.216 0.214
3496.3 0.216 0.214
3495.7 0.226 0.224
3494.8 0.256 0.254
3493.8 0.256 0.254
3493.7 0.256 0.254
3493.6 0.257 0.255
3488.8 0.269 0.266
3488.4 0.269 0.266
3488.1 0.270 0.267
3486.5 0.273 0.270
3486.2 0.275 0.272
3485.3 0.275 0.272
3485.2 0.276 0.273
3484.1 0.276 0.273
3476.6 0.293 0.290
3476.4 0.293 0.290
3474.7 0.293 0.290
3474.6 0.293 0.290
3474.3 0.294 0.291
3473.9 0.294 0.291
3473.6 0.305 0.302
3472.9 0.316 0.313
3472.6 0.317 0.314
3472.3 0.317 0.314
3471.7 0.317 0.314
3470.4 0.317 0.314
3470.3 0.318 0.315
3469.5 0.318 0.315
3468.9 0.318 0.315
3467.1 0.319 0.316
3467.0 0.319 0.316
3465.9 0.319 0.316
3464.2 0.320 0.317
3463.8 0.320 0.317
3461.2 0.320 0.317
3459.0 0.320 0.317
3450.8 0.328 0.325
3449.4 0.328 0.325
3448.0 0.328 0.325
3447.2 0.333 0.330
3446.7 0.338 0.335
3446.5 0.349 0.346
3437.7 0.350 0.347
3436.8 0.350 0.347
3431.4 0.350 0.347
3419.9 0.350 0.347
3419.7 0.350 0.347
3418.5 0.361 0.358
3418.0 0.361 0.358
3416.7 0.361 0.358
3416.5 0.364 0.361
3414.7 0.370 0.366
3414.0 0.370 0.366
3413.5 0.371 0.367
3412.5 0.376 0.372
3406.5 0.384 0.380
3398.4 0.384 0.380
3389.8 0.384 0.380
3388.9 0.385 0.381
3388.2 0.389 0.385
3388.1 0.392 0.388
3387.7 0.392 0.388
3386.0 0.396 0.392
3375.5 0.586 0.580
3375.2 0.610 0.604
3374.9 0.628 0.622
3368.5 0.636 0.630
3367.0 0.636 0.630
3366.7 0.655 0.649
3366.3 0.655 0.649
3365.6 0.658 0.652
3365.3 0.659 0.653
3363.5 0.805 0.797
3362.2 0.835 0.827
3362.1 0.846 0.838
3360.6 0.884 0.876
3360.2 0.884 0.876
3359.2 0.884 0.876
3358.5 0.884 0.876
3357.6 0.963 0.954
3356.9 0.963 0.954
3356.7 0.963 0.954
3356.6 0.976 0.967
3355.1 0.998 0.989
3354.9 1.111 1.100
3354.7 1.111 1.100
3353.5 1.130 1.119
3351.9 1.131 1.120
3350.9 1.131 1.120
3350.4 1.131 1.120
3350.0 1.131 1.120
3348.6 1.131 1.120
3345.9 1.182 1.171
3344.5 1.217 1.205
3343.0 1.263 1.251
3342.1 1.398 1.385
3342.0 1.457 1.443
3339.2 8.773 8.690
3337.0 8.773 8.690
3334.1 9.057 8.971
3333.4 18.704 18.526
3331.6 18.739 18.561
3330.5 18.765 18.587
3329.2 18.775 18.597
3328.5 18.871 18.692
3327.3 18.929 18.749
3325.1 18.943 18.763
3324.2 18.946 18.766
3322.0 19.031 18.850
3320.8 19.077 18.896
3318.9 19.104 18.923
3317.8 19.294 19.111
3316.8 19.996 19.806
3316.3 20.720 20.523
3315.9 32.534 32.225
3315.6 32.999 32.686
3315.4 57.020 56.478
3313.4 57.020 56.478
3312.7 57.021 56.479
3308.6 57.154 56.611
3308.1 57.610 57.063
3307.9 58.117 57.565
3307.7 84.645 83.841
Primal Integral: 0.2283867712
