12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: C1_8_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 27471.510
BKS: 24974.1
Optimal: 0
Thu 27 Jan 2022 12:44:33 AM CST
timestamp: 1643215473
Solution value, local machine time, standardized time
27457.7 32.434 32.126
27453.0 32.435 32.127
27451.3 32.436 32.128
27423.8 32.437 32.129
27417.3 32.439 32.131
27417.2 32.447 32.139
27408.5 32.448 32.140
27408.1 32.456 32.148
27402.4 32.457 32.149
27375.0 32.458 32.150
27370.9 32.460 32.152
27367.9 32.461 32.153
27366.5 32.464 32.156
27361.7 32.466 32.158
27360.3 32.467 32.159
27358.3 32.476 32.167
27357.9 32.479 32.170
27357.1 32.488 32.179
27348.6 32.496 32.187
27348.1 32.507 32.198
27322.6 32.517 32.208
27318.5 32.519 32.210
27318.2 32.521 32.212
27316.4 32.522 32.213
27315.4 32.523 32.214
27312.9 32.524 32.215
27312.2 32.525 32.216
27209.2 32.527 32.218
27208.4 32.528 32.219
27203.4 32.529 32.220
27202.5 32.530 32.221
27200.9 32.531 32.222
27200.8 32.532 32.223
27199.2 32.534 32.225
27168.5 32.535 32.226
27118.5 32.536 32.227
27118.1 32.537 32.228
27107.7 32.538 32.229
27105.0 32.539 32.230
27094.1 32.540 32.231
27092.0 32.541 32.232
27084.5 32.542 32.233
27082.4 32.543 32.234
27072.0 32.544 32.235
27070.9 32.545 32.236
27066.9 32.546 32.237
27065.1 32.547 32.238
27048.6 32.548 32.239
26864.6 32.549 32.240
26857.4 32.551 32.242
26857.3 32.554 32.245
26846.1 32.562 32.253
26845.3 32.570 32.261
26843.4 32.573 32.264
26840.4 32.577 32.268
26661.7 32.587 32.277
26661.0 32.593 32.283
26660.8 32.593 32.283
26660.6 32.603 32.293
26660.5 32.604 32.294
26660.4 32.604 32.294
26658.3 32.608 32.298
26653.8 32.616 32.306
26653.1 32.631 32.321
26652.2 32.632 32.322
26646.9 32.633 32.323
26608.6 32.635 32.325
26543.4 32.637 32.327
26539.6 32.638 32.328
26469.1 32.639 32.329
26468.7 32.640 32.330
26468.3 32.641 32.331
26435.8 32.644 32.334
26434.5 32.644 32.334
26434.2 32.654 32.344
26433.9 32.657 32.347
26433.8 32.674 32.364
26430.4 32.676 32.366
26424.4 32.677 32.367
26422.6 32.679 32.369
26412.0 32.693 32.382
26410.7 32.705 32.394
Primal Integral: 5.7904138946
