12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 21.04
Intel(R) Xeon(R) CPU E5-2698 v3 @ 2.30GHz
hostid: 10916887366929678835
PassMark Single Thread Benchmark: 1981
Time factor: 0.99 (baseline 2000)
Instance: RC1_8_2
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3635 secs
Base solution: 31199.630
BKS: 28363.3
Optimal: 0
Wed 26 Jan 2022 11:41:45 PM CST
timestamp: 1643211705
Solution value, local machine time, standardized time
31190.1 144.708 143.333
31188.1 144.709 143.334
31187.8 151.170 149.734
31185.5 151.171 149.735
31182.8 151.171 149.735
31177.9 151.172 149.736
31176.6 151.173 149.737
31170.7 151.174 149.738
31169.0 151.175 149.739
31168.1 151.175 149.739
31144.9 151.176 149.740
31144.5 151.177 149.741
31133.5 151.178 149.742
31133.4 151.179 149.743
31128.5 151.753 150.311
31122.2 151.754 150.312
31121.3 151.755 150.313
31120.6 151.756 150.314
31120.5 151.756 150.314
31114.7 151.757 150.315
31108.6 151.758 150.316
31107.6 151.759 150.317
31107.1 151.760 150.318
31106.0 151.761 150.319
31068.6 154.177 152.712
31068.3 154.178 152.713
31064.3 154.183 152.718
31019.0 154.185 152.720
31018.0 154.186 152.721
31010.7 154.187 152.722
31009.1 154.188 152.723
31005.7 154.189 152.724
30985.7 155.190 153.716
30976.7 155.210 153.736
30954.7 155.211 153.736
30954.4 155.211 153.736
30953.9 155.468 153.991
30953.8 155.469 153.992
30952.6 155.469 153.992
30952.3 155.470 153.993
30918.3 155.473 153.996
30916.2 155.495 154.018
30915.9 155.496 154.019
30893.1 155.497 154.020
30889.5 155.498 154.021
30887.5 159.800 158.282
30877.1 159.801 158.283
30876.6 159.802 158.284
30842.6 159.803 158.285
30840.6 159.803 158.285
30837.8 163.723 162.168
30830.7 163.726 162.171
30827.7 163.732 162.177
30825.6 163.733 162.178
30825.2 163.733 162.178
30824.3 164.853 163.287
30822.3 164.854 163.288
30822.1 164.854 163.288
30817.9 164.859 163.293
30817.1 164.860 163.294
30768.7 166.898 165.312
30756.5 166.899 165.313
30755.5 166.900 165.314
30755.0 167.656 166.063
30726.9 167.664 166.071
30725.6 169.923 168.309
30725.0 169.924 168.310
30721.8 169.925 168.311
30700.0 169.945 168.331
30696.5 169.974 168.359
30690.0 169.975 168.360
30688.1 169.976 168.361
30686.1 169.977 168.362
30686.0 169.978 168.363
30681.0 169.978 168.363
30680.9 169.979 168.364
30679.5 169.980 168.365
30679.0 169.981 168.366
30659.0 173.341 171.694
