12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: C2_4_3
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 4130.720
BKS: 3755.2
Optimal: 0
Wed 09 Feb 2022 11:57:59 PM EST
timestamp: 1644469079
Solution value, local machine time, standardized time
4121.8 0.090 0.099
4117.0 0.093 0.102
4111.4 0.094 0.104
4109.2 0.095 0.105
4100.2 0.102 0.112
4097.9 0.106 0.117
4084.5 0.108 0.119
4074.6 0.109 0.120
4074.2 0.110 0.121
4072.3 0.111 0.122
4070.0 0.116 0.128
4069.6 0.121 0.133
4067.9 0.122 0.134
4066.8 0.125 0.138
4064.4 0.126 0.139
4051.0 0.128 0.141
4046.6 0.148 0.163
4045.9 0.150 0.165
4036.8 0.154 0.170
4031.6 0.157 0.173
4030.6 0.158 0.174
4029.0 0.166 0.183
4025.3 0.168 0.185
4025.2 0.176 0.194
4019.2 0.177 0.195
4018.3 0.180 0.198
4014.3 0.185 0.204
4014.1 0.186 0.205
4012.3 0.196 0.216
4010.0 0.203 0.224
4006.0 0.205 0.226
4002.9 0.208 0.229
3997.3 0.211 0.233
3995.5 0.215 0.237
3993.1 0.225 0.248
3987.6 0.254 0.280
3981.3 0.279 0.307
3977.9 0.287 0.316
3973.1 0.289 0.318
3970.6 0.296 0.326
3910.8 0.311 0.343
3907.6 0.336 0.370
3904.6 0.342 0.377
3899.3 0.344 0.379
3898.6 0.358 0.395
3893.5 0.359 0.396
3893.2 0.372 0.410
3884.5 0.392 0.432
3883.7 0.393 0.433
3881.7 0.407 0.449
3881.0 0.435 0.479
3880.8 0.535 0.590
3880.3 0.766 0.844
3879.8 0.780 0.860
3878.3 0.787 0.867
3860.2 0.799 0.880
3859.9 0.800 0.882
3858.6 0.814 0.897
3857.7 2.674 2.947
3855.8 2.681 2.954
3855.7 2.682 2.956
3855.6 2.806 3.092
3855.4 2.817 3.104
3852.1 12.860 14.172
3852.0 12.950 14.271
3848.0 13.239 14.589
3847.9 13.401 14.768
3847.7 13.524 14.903
3846.5 13.539 14.920
3846.1 13.602 14.989
3843.2 13.608 14.996
3843.1 13.619 15.008
3842.4 13.621 15.010
3841.4 13.812 15.221
3829.8 13.863 15.277
3825.9 14.164 15.609
3823.5 14.169 15.614
3820.5 14.240 15.692
3814.6 14.268 15.723
3814.1 14.271 15.727
3810.3 14.422 15.893
3810.0 14.556 16.041
3809.2 14.563 16.048
3808.2 14.564 16.050
3804.6 15.550 17.136
3804.5 15.578 17.167
3804.0 15.766 17.374
3802.7 15.891 17.512
3801.5 16.618 18.313
3797.8 16.810 18.525
3796.2 16.975 18.706
3795.6 19.348 21.321
3794.3 20.753 22.870
3794.2 20.758 22.875
3792.3 26.377 29.067
3787.8 26.666 29.386
3787.7 26.993 29.746
3784.7 32.777 36.120
3784.1 32.929 36.288
3776.6 52.370 57.712
3774.2 52.376 57.718
3773.7 62.818 69.225
3773.0 63.059 69.491
3770.4 63.147 69.588
3769.1 63.485 69.960
3768.9 64.073 70.608
3766.6 66.334 73.100
3763.5 68.661 75.664
3760.0 68.825 75.845
3758.8 92.671 102.123
3757.9 739.838 815.301
3757.1 740.165 815.662
3755.9 740.832 816.397
3755.2 1083.199 1193.685
Primal Integral: 0.0467952660
