12th DIMACS Implementation Challenge: Vehicle Routing
VRPTW track
Controller version: December 13, 2021
Competitor: HustSmart
Ubuntu 20.04.3 LTS
Intel(R) Core(TM) i5-4690 CPU @ 3.50GHz
hostid: 4179100773924013267
PassMark Single Thread Benchmark: 2204
Time factor: 1.10 (baseline 2000)
Instance: R1_4_5
Standardized Time limit: 3600 secs
Local Machine Time Limit: 3267 secs
Base solution: 10107.460
BKS: 9188.6
Optimal: 0
Thu 10 Feb 2022 09:04:00 AM EST
timestamp: 1644501840
Solution value, local machine time, standardized time
10081.9 0.066 0.073
10065.7 0.072 0.079
10054.1 0.073 0.080
10013.6 0.075 0.083
9979.1 0.078 0.086
9975.4 0.080 0.088
9963.0 0.082 0.090
9953.3 0.084 0.093
9945.6 0.085 0.094
9929.4 0.086 0.095
9925.5 0.090 0.099
9906.4 0.091 0.100
9881.7 0.096 0.106
9880.8 0.097 0.107
9847.1 0.098 0.108
9843.5 0.099 0.109
9792.8 0.104 0.115
9781.9 0.105 0.116
9774.5 0.106 0.117
9751.6 0.109 0.120
9731.0 0.111 0.122
9668.7 0.114 0.126
9663.8 0.118 0.130
9657.7 0.119 0.131
9654.1 0.120 0.132
9643.7 0.124 0.137
9642.6 0.125 0.138
9641.3 0.128 0.141
9639.3 0.129 0.142
9635.3 0.136 0.150
9622.8 0.158 0.174
9622.7 0.184 0.203
9609.9 0.184 0.203
9603.6 0.190 0.209
9603.1 0.191 0.210
9549.8 0.200 0.220
9534.4 0.203 0.224
9529.3 0.209 0.230
9522.9 0.253 0.279
9513.7 0.267 0.294
9491.8 0.280 0.309
9491.7 0.281 0.310
9489.4 0.292 0.322
9471.0 0.299 0.329
9462.3 0.304 0.335
9461.6 0.306 0.337
9461.5 0.321 0.354
9459.7 0.331 0.365
9458.8 0.367 0.404
9448.3 0.406 0.447
9446.8 0.418 0.461
9445.4 0.472 0.520
9444.3 0.473 0.521
9438.1 0.510 0.562
9427.2 0.529 0.583
9420.2 0.557 0.614
9406.0 0.561 0.618
9404.8 0.572 0.630
9399.5 0.586 0.646
9398.9 0.603 0.665
9398.5 0.609 0.671
9395.7 0.710 0.782
9395.1 0.803 0.885
9393.5 0.826 0.910
9393.3 0.901 0.993
9391.9 0.903 0.995
9383.5 0.938 1.034
9376.3 0.943 1.039
9367.9 0.969 1.068
9361.8 0.981 1.081
9360.5 1.082 1.192
9358.0 2.933 3.232
9356.5 3.066 3.379
9347.2 13.335 14.695
9347.1 13.348 14.709
9337.0 13.350 14.712
9335.6 13.353 14.715
9335.5 13.456 14.829
9330.3 13.458 14.831
9329.2 13.660 15.053
9318.4 13.662 15.056
9318.1 13.664 15.058
9317.0 13.799 15.206
9315.7 13.802 15.210
9315.6 13.852 15.265
9306.6 13.857 15.270
9305.5 14.029 15.460
9305.1 14.031 15.462
9304.0 14.093 15.530
9299.5 14.097 15.535
9296.1 14.099 15.537
9295.0 14.217 15.667
9294.8 14.223 15.674
9293.9 14.270 15.726
9293.4 14.770 16.277
9289.5 14.771 16.278
9288.4 14.857 16.372
9278.9 15.075 16.613
9277.0 15.077 16.615
9276.0 15.381 16.950
9275.7 15.382 16.951
9273.4 15.513 17.095
9266.2 15.581 17.170
9262.0 16.171 17.820
9261.1 16.262 17.921
9260.7 16.359 18.028
9260.1 16.377 18.047
9258.5 16.584 18.276
9255.0 16.595 18.288
9253.6 16.791 18.504
9248.0 17.210 18.965
9247.9 17.350 19.120
9247.1 17.686 19.490
9246.9 17.735 19.544
9246.8 17.905 19.731
9245.5 18.155 20.007
9243.5 18.158 20.010
9242.2 18.373 20.247
9242.0 18.525 20.415
9240.0 18.809 20.728
9237.8 19.031 20.972
9236.3 19.150 21.103
9236.1 19.594 21.593
9235.5 19.725 21.737
9232.3 21.068 23.217
9227.6 21.475 23.665
9227.0 23.859 26.293
9226.0 34.921 38.483
9221.7 34.951 38.516
9218.1 35.741 39.387
9217.1 35.788 39.438
9217.0 36.046 39.723
9216.3 36.324 40.029
9215.6 36.942 40.710
9213.1 37.680 41.523
9212.8 127.505 140.511
9211.8 131.720 145.155
Primal Integral: 0.2619091038
